ID,駅名,問題文,選択肢A,選択肢B,選択肢C,正解
1,札幌,北海道の名産「ジンギスカン」何の肉を使用している？,牛,馬,羊,C. 羊
2,新小樽,小樽は北海道の玄関口として発展した地域であり、小樽運河は観光名所としても有名だよ。さて、運河の意味は？,船の移動のための人工の川,豪華客船の停留所,多くの魚が通る自然発生の川,A. 船の移動のための人工の川
3,倶知安,日本有数のリゾート地であるニセコエリアに位置する倶知安町。ニセコはアイヌ語だけど、その意味は？,切り立った崖,そびえたつ山,広がる湖,A. 切り立った崖
4,長万部,長万部では「かにめし」が有名。では、この中で唯一かにではなくヤドカリの仲間なのは？,ズワイガニ,タラバガニ,ケガニ,B. タラバガニ
5,新八雲,八雲町の特産品の一つであるボタンエビ、このエビには面白い特徴があるがそれは何かな？,脱皮した皮が水に触れるとボタンのような形に縮む,成長するとメスになる,エビなのにカニの味がする,B. 成長するとメスになる
6,七戸十和田,青森と秋田をまたぐ「十和田湖」。この湖はどの種類の湖？,カルデラ湖,火山湖,水食湖,A. カルデラ湖
7,新函館北斗,函館山から見える夜景はその美しい景色から何と言われている？,ダイヤモンドビュー,黄金の夜景,100万ドルの夜景,C. 100万ドルの夜景
8,八戸,八戸地方の郷土料理「いちご煮」。だしに使用する魚介はどれかな？,サザエとマグロ,サケとアサリ,アワビとウニ,C. アワビとウニ
9,木古内,木古内町公式キャラクターは、「はこだて和牛」をモチーフにしたキャラだよ。そのキャラの名前は？,キーコ,モゥ～くん,あかまる,A. キーコ
10,二戸,九戸城跡はとある武将の天下統一の最後の合戦の場となった歴史的遺跡。そのとある武将とは？,織田信長,豊臣秀吉,徳川家康,B. 豊富秀吉
11,奥津軽いまべつ,今別町の郷土料理「あづべ汁」。名前の由来はどれかな？,北海道弁の「あずましい」から,非常に熱く熱してから食べるから,多くの食材を集めて作るから,C. 多くの食材を集めて作るから
12,いわて沼宮内,安比高原は安比岳の麓に広がる約3500haの高原。3500haと同じ大きさなのは？,$350a$,$35km^2$,$35000m^2$,B. $35km^2$
13,盛岡,「盛岡三大麺」と称されるのは「盛岡冷麺」「盛岡じゃじゃめん」と、あともう一つは？,わんこそば,戸隠そば,出雲そば,A. わんこそば
14,雫石,雫石町にある、岩手県南麓に広がる日本最大規模の農場はどれだ？,若竹の杜 若山農場,十勝牧場,小岩井農場,C. 小岩井農場
15,田沢湖,田沢湖は日本で最も深い湖！さて、その深さは何m？,98.3m,423.4m,1349.3m,B. 423.4m
16,角館,大村美術館で主に飾られているフランスのガラス作品の様式は？,ジャポニズム,アール・ヌーヴォー,アール・デコ,C. アール・デコ
17,大曲,横手市を代表するB級グルメ「横手焼きそば」！その特徴として間違っているものは？,極細麺を使用する,半熟の目玉焼きをのせる,福神漬けを添える,A. 極細麺を使用する
18,秋田,秋田の郷土料理「きりたんぽ鍋」！きりたんぽは何から作られる？,大豆,米,小麦粉,B. 米
19,新花巻,「銀河鉄道の夜」が代表作品の花巻が誇る文化的偉人は？,谷川俊太郎,太宰治,宮沢賢治,C. 宮沢賢治
20,北上,北上地域の有名温泉「夏油温泉」。この温泉の読み方は？,かとうおんせん,げとうおんせん,さとうおんせん,B. げとうおんせん
21,水沢江刺,南部鉄器を紹介する施設「キューポラの館」に展示されている銅像は誰？,大谷翔平,イチロー,松井秀喜,A. 大谷翔平
22,一ノ関,奥州藤原氏によって再興された世界遺産「中尊寺」。これは世界何遺産？,世界自然遺産,世界複合遺産,世界文化遺産,C. 世界文化遺産
23,くりこま高原,登米地方の郷土料理「はっと」。この料理名の由来は？,入れるお椀が帽子に似てる,8種類の郷土野菜が入ってる,あまりの美味しさで藩主が農民に食べさせなかった,C. あまりの美味しさで藩主が農民に食べさせなかった
24,古川,"毎年, 夏に約42万本のひまわりが咲く「三本木ひまわりの丘」のひまわりの原産地はどこ？",北アメリカ,南アメリカ,ヨーロッパ,A. 北アメリカ
25,仙台,宮城県の伝統料理「ずんだ餅」。「ずんだ」の元となる豆はどれ？,そら豆,枝豆,えんどう豆,B. 枝豆
26,高畠,高畠には「泣いた赤おに」で有名な童話作家の記念館がある。この童話作家の名前は？,レオ・レオニ,新美南吉,浜田廣介,C. 浜田廣介
27,白石蔵王,白石の郷土食「白石温麺」。江戸時代から受け継がれたものだが、江戸時代が終わったのはいつ？,1858年,1868年,1878年,B. 1868年
28,赤湯,天然のブナ林に囲まれた「くぐり滝」が有名な赤湯駅。ブナは植物のどの種類？,常緑広葉樹,落葉広葉樹,針葉樹,B. 落葉広葉樹
29,福島,高湯温泉と土湯峠を結ぶ磐梯吾妻スカイラインは全長28.7km！時速41km/時で走るとおよそ何分で通り終わる？,42分,53分,38分,A. 42分
30,かみのやま温泉,この地域で6月ごろに咲く「チングルマ」という植物を漢字で書くとどうなるかな？,稚児車,珍車,池霧車,A. 稚児車
